Phases:
0,Not indexed,0
2,Iron,60696
1,Iron,310619
Map Size:
X,256
Y,192
Data:
K,Cluster Size,Phase,Euler1,Euler2,Euler3,Index Quality,Pattern Quality,IPF x-coordinate,IPF y-coordinate,Kernel Average Misorientation,GND Density,Channelling Fraction
twin-122,2,16,13.242401844578668,0.973409644813646
ksor-05,4,9,13.269278515274793,0.9733020834886368
twin-113,3,11,13.269859666842745,0.9732997553352294
twin-223,3,5,13.278843826527426,0.9732637511212594
twin-013,17,18,13.289362836698357,0.9732215655495546
twin-013,5,10,13.298807726628374,0.9731836596934329
twin-013,2,7,13.331664538162123,0.9730515870780923
twin-113,8,18,13.343352289471902,0.9730045293423737
twin-012,10,19,13.370716935390757,0.9728941942395317
twin-113,5,14,13.408421029336727,0.9727418066268936
twin-123,4,15,13.419508147408463,0.972696915973762
twin-123,14,15,13.425437212406912,0.9726728948243919
twin-133,6,14,13.489171572317815,0.9724140222718001
twin-113,3,16,13.495710923143287,0.9723873930459883
twin-133,2,12,13.535111448938911,0.9722266800821373
twin-113,3,8,13.552775895919607,0.9721544783304239
twin-123,4,7,13.610768831631468,0.9719167880821677
twin-233,5,11,13.613428090598795,0.9719058649471066
twin-233,1,20,13.628194991331064,0.9718451705396312
twin-023,3,12,13.663348959071566,0.9717004221544321
twin-123,10,13,13.701619046253407,0.9715424271113517
twin-122,1,20,13.736573112168063,0.971397743261607
twin-123,5,20,13.74549476573404,0.9713607563305717
twin-013,12,17,13.75647230722794,0.9713152138874293
twin-111,1,6,13.77612138646477,0.9712336068745999
twin-023,6,20,13.795358867200573,0.9711535986607718
twin-013,15,17,13.811016590493331,0.9710883977527482
twin-023,1,11,13.826120504811941,0.9710254342613291
twin-023,15,20,13.91199204061096,0.9706661804449244
twin-013,2,11,13.986760341148681,0.9703516026271322
twin-123,10,20,14.02706123345788,0.9701813565005528
twin-023,3,19,14.10126298025896,0.9698666450034814
twin-012,3,19,14.111153244362978,0.9698245746074861
twin-123,1,4,14.134117816876715,0.9697267783416996
twin-123,7,12,14.220382068402671,0.9693580243297071
twin-023,11,14,14.232402454852894,0.9693064663078641
twin-123,8,10,14.28599984604336,0.9690760563860792
twin-123,8,20,14.298848862478794,0.9690206937030126
twin-112,8,19,14.339551572521787,0.9688449958479461
twin-112,5,14,14.342604703926831,0.9688317969461908
twin-113,10,14,14.425919392434741,0.9684705600065475
twin-223,6,13,14.455379132089691,0.968342337972663
twin-113,6,14,14.543139855727153,0.9679588467231817
twin-013,13,15,14.545054180325517,0.967950456316931
twin-233,15,20,14.550928999678057,0.9679247004783
twin-113,1,5,14.556925525962273,0.967898400568816
twin-113,2,7,14.564651997282192,0.9678644977361226
twin-023,6,13,14.567203030519327,0.9678533002422012
twin-123,4,20,14.630341637149737,0.9675755485787163
twin-133,7,12,14.638553468133232,0.9675393377386436
twin-233,6,18,14.63918145089665,0.9675365677715932
twin-233,14,20,14.679161337797527,0.9673599813922307
twin-111,5,11,14.69899502334454,0.9672722035798866
